Ano,Mês,Tecnologia,Producao,Mes/Ano
2023,1,Eólica (kWh),1406324393.5,1/2023
2023,1,Fotovoltaica (kWh),27009411.75,1/2023
2023,1,Hídrica (kWh),155564009.25,1/2023
2023,1,Resto (kWh),187575074.75,1/2023
2023,2,Eólica (kWh),1166546630.25,2/2023
2023,2,Fotovoltaica (kWh),28065118.5,2/2023
2023,2,Hídrica (kWh),76708935.5,2/2023
2023,2,Resto (kWh),191981472.75,2/2023
2023,3,Eólica (kWh),1150472551.5,3/2023
2023,3,Fotovoltaica (kWh),36223674.5,3/2023
2023,3,Hídrica (kWh),72000741.25,3/2023
2023,3,Resto (kWh),251235231.25,3/2023
2023,4,Eólica (kWh),840754624.0,4/2023
2023,4,Fotovoltaica (kWh),44441097.75,4/2023
2023,4,Hídrica (kWh),43737904.25,4/2023
2023,4,Resto (kWh),228432833.5,4/2023
2023,5,Eólica (kWh),1115504203.5,5/2023
2023,5,Fotovoltaica (kWh),43872675.0,5/2023
2023,5,Hídrica (kWh),27134005.5,5/2023
2023,5,Resto (kWh),221350711.5,5/2023
2023,6,Eólica (kWh),645061547.25,6/2023
2023,6,Fotovoltaica (kWh),41353977.75,6/2023
2023,6,Hídrica (kWh),39331138.25,6/2023
2023,6,Resto (kWh),260129715.75,6/2023
2023,7,Eólica (kWh),901680451.5,7/2023
2023,7,Fotovoltaica (kWh),48513391.25,7/2023
2023,7,Hídrica (kWh),15804126.5,7/2023
2023,7,Resto (kWh),308945818.0,7/2023
2023,8,Eólica (kWh),974213876.75,8/2023
2023,8,Fotovoltaica (kWh),45176275.5,8/2023
2023,8,Hídrica (kWh),9670876.0,8/2023
2023,8,Resto (kWh),311588789.5,8/2023
2023,9,Eólica (kWh),714822829.25,9/2023
2023,9,Fotovoltaica (kWh),33804790.75,9/2023
2023,9,Hídrica (kWh),13110308.75,9/2023
2023,9,Resto (kWh),280960146.5,9/2023
2023,10,Eólica (kWh),1332435930.0,10/2023
2023,10,Fotovoltaica (kWh),25801147.0,10/2023
2023,10,Hídrica (kWh),58481114.5,10/2023
2023,10,Resto (kWh),271946393.0,10/2023
2023,11,Eólica (kWh),1345138131.65,11/2023
2023,11,Fotovoltaica (kWh),21564376.75,11/2023
2023,11,Hídrica (kWh),120245497.25,11/2023
2023,11,Resto (kWh),224566550.5,11/2023
2023,12,Eólica (kWh),1173144638.1,12/2023
2023,12,Fotovoltaica (kWh),18825345.75,12/2023
2023,12,Hídrica (kWh),120614655.5,12/2023
2023,12,Resto (kWh),276311534.0,12/2023
2024,1,Eólica (kWh),1197001822.75,1/2024
2024,1,Fotovoltaica (kWh),15362825.75,1/2024
2024,1,Hídrica (kWh),130458128.5,1/2024
2024,1,Resto (kWh),301822237.0,1/2024
2024,2,Eólica (kWh),1497062337.0,2/2024
2024,2,Fotovoltaica (kWh),19007292.25,2/2024
2024,2,Hídrica (kWh),124486718.25,2/2024
2024,2,Resto (kWh),341200949.233,2/2024
2024,3,Eólica (kWh),1562523028.75,3/2024
2024,3,Fotovoltaica (kWh),21374788.75,3/2024
2024,3,Hídrica (kWh),152455178.0,3/2024
2024,3,Resto (kWh),366886332.728,3/2024
2024,4,Eólica (kWh),1124686572.0,4/2024
2024,4,Fotovoltaica (kWh),29022721.5,4/2024
2024,4,Hídrica (kWh),119910052.25,4/2024
2024,4,Resto (kWh),402314456.75,4/2024
2024,5,Eólica (kWh),1052510410.25,5/2024
2024,5,Fotovoltaica (kWh),33264717.75,5/2024
2024,5,Hídrica (kWh),76244193.25,5/2024
2024,5,Resto (kWh),455706364.165015,5/2024
2024,6,Eólica (kWh),698611276.5,6/2024
