Data/Hora;Dia;Mês;Ano;Data;Hora;Cogeração (kWh);Eólica (kWh);Fotovoltaica (kWh);Hídrica (kWh);Outras Tecnologias (kWh);Rede Distribuição (kWh)
2024-12-01T01:30:00+00:00;01;12;2024;2024-12-01;01:30;65302.25;470343.0;0.0;15520.0;47144.841000000015;598310.091
2024-12-01T02:00:00+00:00;01;12;2024;2024-12-01;02:00;66912.25;480471.25;0.0;15785.0;46545.88500000001;609714.385
2024-12-01T03:15:00+00:00;01;12;2024;2024-12-01;03:15;66242.25;503178.5;0.0;14488.0;45818.38600000006;629727.136
2024-12-01T03:30:00+00:00;01;12;2024;2024-12-01;03:30;66823.25;513665.25;0.0;14444.75;47138.85400000005;642072.104
2024-12-01T05:15:00+00:00;01;12;2024;2024-12-01;05:15;66463.25;468322.0;0.0;13993.25;46508.978;595287.478
2024-12-01T05:30:00+00:00;01;12;2024;2024-12-01;05:30;66023.75;451685.75;0.0;13758.25;46622.65599999996;578090.406
2024-12-01T06:45:00+00:00;01;12;2024;2024-12-01;06:45;67323.25;382036.0;0.0;14689.0;46313.409999999974;510361.66
2024-12-01T07:00:00+00:00;01;12;2024;2024-12-01;07:00;69374.0;388876.75;0.0;14621.0;46346.43900000001;519218.189
2024-12-01T07:45:00+00:00;01;12;2024;2024-12-01;07:45;68786.0;436476.25;1.25;14914.75;49321.88899999997;569500.139
2024-12-01T08:00:00+00:00;01;12;2024;2024-12-01;08:00;69865.5;435321.75;62.25;15060.25;56389.27000000002;576699.02
2024-12-01T08:15:00+00:00;01;12;2024;2024-12-01;08:15;69864.75;435131.5;385.25;17685.0;47550.02500000002;570616.525
2024-12-01T08:45:00+00:00;01;12;2024;2024-12-01;08:45;69423.75;428372.5;1508.75;19474.0;48916.03000000003;567695.03
2024-12-01T10:15:00+00:00;01;12;2024;2024-12-01;10:15;70584.75;335310.75;5897.0;23091.75;60572.75699999998;495457.007
2024-12-01T10:30:00+00:00;01;12;2024;2024-12-01;10:30;70030.5;338016.25;8167.25;23642.25;61122.034999999974;500978.285
2024-12-01T11:15:00+00:00;01;12;2024;2024-12-01;11:15;69310.0;324761.0;10333.0;27193.5;62597.016;494194.516
2024-12-01T12:15:00+00:00;01;12;2024;2024-12-01;12:15;69612.75;289414.75;8171.5;28043.0;64632.93599999999;459874.936
2024-12-01T14:30:00+00:00;01;12;2024;2024-12-01;14:30;68902.5;336317.0;6815.25;26027.75;59740.706999999995;497803.207
2024-12-01T16:30:00+00:00;01;12;2024;2024-12-01;16:30;68962.0;352554.5;1791.0;25127.0;48459.996999999974;496894.497
2024-12-01T17:45:00+00:00;01;12;2024;2024-12-01;17:45;68345.5;305111.0;0.0;26627.25;45623.804000000004;445707.554
2024-12-01T18:30:00+00:00;01;12;2024;2024-12-01;18:30;67677.0;280971.5;0.0;26182.25;45987.561999999976;420818.312
2024-12-01T18:45:00+00:00;01;12;2024;2024-12-01;18:45;66751.75;278695.25;0.0;26005.0;45644.61200000002;417096.612
2024-12-01T19:30:00+00:00;01;12;2024;2024-12-01;19:30;67666.5;233717.5;0.0;25744.25;46808.802000000025;373937.052
2024-12-01T20:00:00+00:00;01;12;2024;2024-12-01;20:00;68582.75;195996.25;0.0;25649.75;47160.71799999999;337389.468
2024-12-01T22:00:00+00:00;01;12;2024;2024-12-01;22:00;67002.5;243405.5;0.0;23066.5;46640.66200000001;380115.162
2024-12-01T23:30:00+00:00;01;12;2024;2024-12-01;23:30;68008.75;258418.75;0.0;15416.75;47036.21399999998;388880.464
2024-12-02T00:15:00+00:00;02;12;2024;2024-12-02;00:15;67255.5;257907.5;0.0;16601.5;46507.29800000001;388271.798
2024-12-02T00:30:00+00:00;02;12;2024;2024-12-02;00:30;67887.75;254542.25;0.0;16626.75;46828.053000000014;385884.803
2024-12-02T00:45:00+00:00;02;12;2024;2024-12-02;00:45;68075.5;247243.5;0.0;16545.5;46976.30800000002;378840.808
2024-12-02T02:00:00+00:00;02;12;2024;2024-12-02;02:00;69168.75;214498.25;0.0;16556.5;46193.071999999986;346416.572
2024-12-02T02:30:00+00:00;02;12;2024;2024-12-02;02:30;69663.5;221819.0;0.0;14780.0;45788.061999999976;352050.562
2024-12-02T03:15:00+00:00;02;12;2024;2024-12-02;03:15;66732.5;246505.5;0.0;14746.75;46270.136;374254.886
2024-12-02T04:15:00+00:00;02;12;2024;2024-12-02;04:15;68043.0;194285.75;0.0;14094.25;45990.93099999998;322413.931
2024-12-02T04:30:00+00:00;02;12;2024;2024-12-02;04:30;68071.0;173365.5;0.0;13352.5;46388.701;301177.701
2024-12-02T04:45:00+00:00;02;12;2024;2024-12-02;04:45;67969.75;149638.0;0.0;13332.75;45448.08899999998;276388.589
2024-12-02T05:00:00+00:00;02;12;2024;2024-12-02;05:00;68291.25;137986.0;0.0;13146.5;46072.640000000014;265496.39
2024-12-02T05:30:00+00:00;02;12;2024;2024-12-02;05:30;67518.5;129025.25;0.0;14234.75;45702.492;256480.992
2024-12-02T06:30:00+00:00;02;12;2024;2024-12-02;06:30;68688.5;94422.25;0.0;13906.5;43902.70000000001;220919.95
2024-12-02T08:15:00+00:00;02;12;2024;2024-12-02;08:15;75882.5;79916.0;593.5;19458.0;44146.570999999996;219996.571
2024-12-02T10:00:00+00:00;02;12;2024;2024-12-02;10:00;77012.5;59074.5;8546.5;25417.5;57915.66;227966.66
2024-12-02T10:15:00+00:00;02;12;2024;2024-12-02;10:15;77219.25;54467.75;9184.75;25437.5;59498.657999999996;225807.908
2024-12-02T10:30:00+00:00;02;12;2024;2024-12-02;10:30;76650.25;47650.0;10501.0;25466.25;60713.82699999999;220981.327
2024-12-02T11:45:00+00:00;02;12;2024;2024-12-02;11:45;78258.75;37454.5;17238.5;23187.0;62726.22700000001;218864.977
2024-12-02T14:30:00+00:00;02;12;2024;2024-12-02;14:30;74150.75;70688.75;13487.5;24532.75;58949.02100000001;241808.771
2024-12-02T14:45:00+00:00;02;12;2024;2024-12-02;14:45;74330.0;71534.5;11997.25;22903.75;54047.04699999999;234812.547
2024-12-02T15:00:00+00:00;02;12;2024;2024-12-02;15:00;74092.0;74446.0;11157.75;23711.5;50633.916;234041.166
2024-12-02T16:30:00+00:00;02;12;2024;2024-12-02;16:30;74474.25;85210.75;2692.25;27706.0;37204.600000000006;227287.85
2024-12-02T17:30:00+00:00;02;12;2024;2024-12-02;17:30;74310.25;105992.5;0.5;23191.75;43434.80100000001;246929.801
2024-12-02T17:45:00+00:00;02;12;2024;2024-12-02;17:45;73431.0;110565.25;0.0;22708.75;42854.236000000004;249559.236
2024-12-02T18:15:00+00:00;02;12;2024;2024-12-02;18:15;73287.0;116990.5;0.0;22517.0;43250.187999999995;256044.688
2024-12-02T18:30:00+00:00;02;12;2024;2024-12-02;18:30;73568.75;121459.25;0.0;22463.25;43330.255999999994;260821.506
2024-12-02T19:00:00+00:00;02;12;2024;2024-12-02;19:00;73235.0;120848.0;0.0;22443.75;44065.926999999996;260592.677
2024-12-02T19:45:00+00:00;02;12;2024;2024-12-02;19:45;72364.5;146563.5;0.0;22718.75;41578.07500000001;283224.825
2024-12-02T20:00:00+00:00;02;12;2024;2024-12-02;20:00;72804.25;163087.75;0.0;22438.0;41070.070999999996;299400.071
2024-12-02T21:00:00+00:00;02;12;2024;2024-12-02;21:00;70966.25;140666.5;0.0;21835.75;41525.87400000001;274994.374
2024-12-02T21:30:00+00:00;02;12;2024;2024-12-02;21:30;71239.75;121083.25;0.0;21307.0;41180.826;254810.826
2024-12-02T21:45:00+00:00;02;12;2024;2024-12-02;21:45;72658.0;114184.5;0.0;21154.0;41333.34700000001;249329.847
2024-12-02T22:15:00+00:00;02;12;2024;2024-12-02;22:15;70884.0;102857.25;0.0;19226.75;41817.282999999996;234785.283
2024-12-02T22:30:00+00:00;02;12;2024;2024-12-02;22:30;70500.0;102085.25;0.0;17334.25;40970.277;230889.777
2024-12-02T23:00:00+00:00;02;12;2024;2024-12-02;23:00;71100.5;98946.75;0.0;14318.0;41569.67999999999;225934.93
2024-12-02T23:15:00+00:00;02;12;2024;2024-12-02;23:15;71423.25;93607.25;0.0;12687.0;42249.753;219967.253
