,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum
2022-12-31 00:00:00+00:00,,,,,,,0.0767227
2023-01-01 00:00:00+00:00,13.957454,10.834991,16.947662,4.4812,2.2973387,5.3671327,1.2696261
2023-01-02 00:00:00+00:00,9.369559,6.194458,13.110443,1.754022,1.3281347,2.657617,0.0018330181
2023-01-03 00:00:00+00:00,7.0131226,2.7309265,12.917389,1.9549977,1.6357011,2.4757059,4.2541356e-05
2023-01-04 00:00:00+00:00,7.8581033,3.6279602,14.481567,2.1230192,1.683161,2.5301712,0.00067972665
2023-01-05 00:00:00+00:00,8.435746,4.148926,14.648651,1.4938935,0.38086584,2.1707108,0.00031508654
2023-01-06 00:00:00+00:00,8.162482,4.1720886,13.597351,1.3160127,0.8524604,2.331689,0.051109
2023-01-07 00:00:00+00:00,11.904523,8.433899,14.580566,4.2492595,2.4552221,5.6784496,1.4446609
2023-01-08 00:00:00+00:00,14.136241,12.846893,15.486786,5.2889853,3.8830028,6.366033,0.95759463
2023-01-09 00:00:00+00:00,13.024426,10.177887,15.526672,2.4472191,0.5807609,4.1087923,0.022207988
2023-01-10 00:00:00+00:00,11.579501,9.255554,13.930908,0.90630835,0.09612543,1.5624788,0.32565922
2023-01-11 00:00:00+00:00,12.21632,7.7546387,15.403259,2.616181,1.7148302,3.8421686,0.05362408
2023-01-12 00:00:00+00:00,8.680116,4.381653,14.200134,1.3932871,0.61356664,1.7314135,0.0006605597
2023-01-13 00:00:00+00:00,8.87547,5.3871155,14.046478,0.98099,0.43654484,1.2565057,0.0022065404
2023-01-14 00:00:00+00:00,9.235546,6.3553467,13.060028,0.9618456,0.680087,1.38807,0.102718204
2023-01-15 00:00:00+00:00,9.616418,6.567444,12.26413,2.7464378,1.0342163,4.764693,0.07837427
2023-01-16 00:00:00+00:00,10.51854,6.872223,12.974304,5.669474,3.3745942,7.2335157,0.5883236
2023-01-17 00:00:00+00:00,10.446739,6.8594666,11.933899,6.9592795,5.542382,7.6985617,0.4502572
2023-01-18 00:00:00+00:00,6.626451,3.9343872,9.787079,4.59898,2.5327995,5.8154716,0.025429912
2023-01-19 00:00:00+00:00,7.099533,2.282257,10.98642,3.2281473,1.5851682,4.5664883,0.23009825
2023-01-20 00:00:00+00:00,12.506394,10.879456,15.370239,3.78405,2.69445,4.8020782,0.032049067
2023-01-21 00:00:00+00:00,12.030492,8.7812805,15.755554,3.511986,2.615037,4.5769186,0.01133657
2023-01-22 00:00:00+00:00,7.4112945,4.0634155,11.758728,3.0203905,2.1959243,3.7888439,0.0
2023-01-23 00:00:00+00:00,5.6092134,0.9576721,11.9808655,2.679032,2.2115335,3.3566356,0.0
2023-01-24 00:00:00+00:00,5.5809655,1.6875305,10.761688,3.1927185,2.2708905,4.184079,3.7398995e-06
2023-01-25 00:00:00+00:00,4.904817,0.91241455,10.801788,2.818003,1.7968642,3.5943832,0.0
2023-01-26 00:00:00+00:00,4.566532,-0.56469727,10.340179,2.5390463,1.6243092,4.130772,0.026171347
2023-01-27 00:00:00+00:00,5.877805,0.9760742,12.008636,3.1176078,2.3908796,4.4945507,0.00017764523
2023-01-28 00:00:00+00:00,5.604552,1.0735474,11.486511,3.0309532,2.2990384,3.865804,0.0
2023-01-29 00:00:00+00:00,5.2747383,1.0544128,11.269806,2.8568485,2.0423687,3.7846694,0.0
2023-01-30 00:00:00+00:00,5.433426,0.58761597,12.019562,2.770218,1.963601,3.451407,5.095613e-05
2023-01-31 00:00:00+00:00,6.2928452,0.49349976,13.932312,2.062674,1.4601489,2.6640432,0.0
2023-02-01 00:00:00+00:00,6.200512,0.46957397,13.71283,1.723148,0.8683676,2.1410193,0.0
2023-02-02 00:00:00+00:00,7.1020074,1.5058899,14.800842,1.9250809,1.0594779,2.4562104,0.0
2023-02-03 00:00:00+00:00,8.414077,2.1463623,17.079376,1.9338313,1.222712,2.4185042,0.0
2023-02-04 00:00:00+00:00,9.18706,2.524353,18.126923,2.0801623,1.6879554,2.3143132,0.0
2023-02-05 00:00:00+00:00,9.367335,2.8867798,17.076263,2.6568077,1.8368906,3.5410793,0.0
2023-02-06 00:00:00+00:00,8.98511,3.1966248,16.167694,1.8583232,1.2088668,2.7034383,0.0009924758
2023-02-07 00:00:00+00:00,7.8586555,3.9039307,12.921936,3.154482,2.2158976,3.9924629,0.22005193
2023-02-08 00:00:00+00:00,8.656212,6.039032,11.649445,3.7987983,2.3688047,5.045432,0.34728706
2023-02-09 00:00:00+00:00,10.407329,6.63031,15.907593,3.521654,2.5449576,4.265132,0.0056061093
2023-02-10 00:00:00+00:00,8.840207,5.0708313,13.531067,4.403844,3.338792,6.041423,0.00041325888
2023-02-11 00:00:00+00:00,8.637021,4.712219,13.489563,4.4002476,3.0338557,5.7788954,0.025251798
2023-02-12 00:00:00+00:00,10.017143,6.783142,14.016754,3.5913255,2.6333303,4.6312504,0.024749719
2023-02-13 00:00:00+00:00,11.2748,7.4522705,16.70343,3.1640968,2.208643,4.2558856,0.00051423616
2023-02-14 00:00:00+00:00,11.502937,6.7944336,16.71875,3.686806,2.6013117,5.216492,0.05197712
2023-02-15 00:00:00+00:00,12.295947,8.666748,17.50296,3.2566261,2.069711,4.1400185,0.018596184
2023-02-16 00:00:00+00:00,11.701795,6.0257874,18.459991,2.7990723,2.1957881,3.6636992,0.0
2023-02-17 00:00:00+00:00,12.488093,7.771454,18.41803,3.8364174,2.8566039,5.386812,0.021896644
2023-02-18 00:00:00+00:00,13.115575,10.020599,17.637878,2.7907574,1.7666183,3.4996,0.018270344
2023-02-19 00:00:00+00:00,13.031405,9.038574,18.083527,2.3651683,1.6071601,3.134041,0.013445405
2023-02-20 00:00:00+00:00,13.2592535,10.408813,17.632294,1.9127833,0.937337,2.8258214,0.101800516
2023-02-21 00:00:00+00:00,12.0508795,8.327087,16.856537,1.5178102,0.15834945,3.2261004,0.12817803
2023-02-22 00:00:00+00:00,10.949894,7.7838135,15.215027,2.3495786,1.1787874,3.6221733,0.020028563
2023-02-23 00:00:00+00:00,7.8246207,3.722046,11.979675,3.9537249,1.7877278,5.4531455,0.015347144
